target_location,target_name,BOOK,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,TOTAL_AIRCRAFT,AVG_ALTITUDE,TOTAL_HE_BOMBS,TOTAL_HE_TONS,TOTAL_INCENDIARY_BOMBS,TOTAL_INCENDIARY_TONS,TOTAL_FRAG_BOMBS,TOTAL_FRAG_TONS,TOTAL_TONS,NUM_ATTACKS
AACHEN,FACTORY,BOOK_6_INDUSTRIAL__PART_2,,,46002,09-10,7.0,1.0,115.0,R,2.0,95.0,4.0,1.6,0.0,0.0,0.0,0.0,1.6,2
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,,,46002 820,02-03,6.0,1.0,,R,6.0,,24.0,6.0,860.0,1.72,0.0,0.0,7.72,3
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,,,46002 820,03-04,6.0,1.0,,R,1.0,,4.0,1.0,8.0,0.0,0.0,0.0,1.0,1
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,,,46002 820,2,6.0,1.0,,R,1.0,,6.666666666666667,1.0,120.0,0.24,0.0,0.0,1.24,1
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,,,46002 820,26-27,6.0,1.0,,R,3.0,,8.0,2.15,0.0,0.0,0.0,0.0,2.15,2
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,,,46002 820,28-29,6.0,1.0,,R,1.0,,2.0,0.6,0.0,0.0,0.0,0.0,0.6,1
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,,,46002 820,1,7.0,1.0,,R,1.0,,2.0,0.6,120.0,0.24,0.0,0.0,0.84,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,16-17,5.0,0.0,15.0,R,4.0,165.0,16.0,4.0,0.0,0.0,0.0,0.0,4.0,2
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,18-20,5.0,0.0,20.0,R,6.0,165.0,10.0,4.0,0.0,0.0,0.0,0.0,4.0,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,21-22,5.0,0.0,20.0,R,7.0,165.0,72.0,9.0,0.0,0.0,0.0,0.0,9.0,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,23,5.0,0.0,20.0,R,6.0,165.0,95.0,12.0,0.0,0.0,0.0,0.0,12.0,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,09-10,6.0,0.0,40.0,R,10.0,165.0,20.0,4.0,60.0,0.12,0.0,0.0,4.12,2
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,11,6.0,0.0,100.0,R,4.0,165.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,17,6.0,0.0,120.0,R,2.0,165.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,17-18,6.0,0.0,110.0,R,3.0,165.0,6.0,2.0,60.0,0.12,0.0,0.0,2.12,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,10,12.0,0.0,140.0,R,1.0,165.0,2.0,0.6,360.0,0.72,0.0,0.0,1.3199999999999998,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,10-11,12.0,0.0,150.0,R,1.0,165.0,6.666666666666667,1.0,360.0,0.72,0.0,0.0,1.72,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,22-23,12.0,0.0,200.0,R,2.0,165.0,10.666666666666668,2.0,0.0,0.0,0.0,0.0,2.0,2
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,23-24,5.0,1.0,215.0,R,2.0,165.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,2
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,24,5.0,1.0,20.0,R,5.0,165.0,28.0,7.0,4.0,1.0,0.0,0.0,8.0,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,24-25,5.0,1.0,420.0,R,203.0,195.0,28.0,56.0,26.0,0.65,0.0,0.0,56.650000000000006,2
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,25,5.0,1.0,51.0,R,202.0,210.0,32.0,64.0,18.0,0.45,0.0,0.0,64.45,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,05-06,8.0,1.0,20.0,R,11.0,165.0,16.0,5.0,600.0,1.0,0.0,0.0,6.0,2
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,24-25,5.0,2.0,51.0,R,3.0,180.0,0.0,0.0,16.0,2.0,0.0,0.0,2.0,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,24-25,5.0,3.0,51.0,R,14.0,190.0,1390.0,646.0,0.0,0.0,0.0,0.0,646.0,3
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,25,5.0,4.0,220.0,R,6.0,210.0,2392.0,598.0,0.0,0.0,0.0,0.0,598.0,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,27-28,5.0,4.0,220.0,R,490.0,,813.5,249.25,113.0,4.0,0.0,0.0,253.25,4
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,19,7.0,4.0,220.0,8,1.0,,0.0,0.0,0.0,0.0,40.0,2.4,2.4,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,25,7.0,4.0,410.0,8,300.0,,300.0,37.5,0.0,0.0,0.0,0.0,37.5,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,26,7.0,4.0,430.0,8,350.0,,0.0,0.0,0.0,0.0,40.0,2.4,2.4,1
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,5047N,605E,46002 630,28,7.0,4.0,510.0,8,450.0,,300.0,15.0,0.0,0.0,0.0,0.0,15.0,1
AACHEN,TOWN GAS WORKS,BOOK_13_UTILITIES,,,46002 30,20-21,7.0,1.0,,R,1.0,,3.0,1.0,240.0,0.48,0.0,0.0,1.48,1
AACHEN,TOWN GAS WORKS,BOOK_13_UTILITIES,,,46002 30,22,7.0,1.0,,R,1.0,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,13-14,5.0,0.0,,R,3.0,,16.0,2.0,0.0,0.0,0.0,0.0,2.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,14-15,5.0,0.0,,R,2.0,,132.0,33.0,0.0,0.0,0.0,0.0,33.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,15-16,5.0,0.0,,R,3.0,,36.0,5.0,120.0,0.24,0.0,0.0,5.24,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,24-25,5.0,0.0,,R,2.0,,2.0,0.3,0.0,0.0,0.0,0.0,0.3,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,05-06,6.0,0.0,,R,1.0,,9.0,1.0,120.0,0.24,0.0,0.0,1.24,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,06-07,6.0,0.0,,R,2.0,,8.0,1.0,0.0,0.0,0.0,0.0,1.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,08-09,6.0,0.0,,R,2.0,,4.0,1.0,60.0,0.12,0.0,0.0,1.12,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,09-10,12.0,0.0,,R,1.0,,2.0,1.0,360.0,0.72,0.0,0.0,1.72,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,22,12.0,0.0,,R,1.0,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,23-24,12.0,0.0,,R,2.0,,6.0,1.8,0.0,0.0,0.0,0.0,1.8,2
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,06-07,1.0,1.0,200.0,R,9.0,,1.0,1.0,576.0,72.0,0.0,0.0,73.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,6,1.0,1.0,1430.0,R,68.0,,3.0,1.65,56.0,7.0,0.0,0.0,8.65,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,08-09,2.0,1.0,,R,4.0,,12.0,2.6,0.0,0.0,0.0,0.0,2.6,4
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,10,2.0,1.0,,R,2.0,,2.0,0.6,0.0,0.0,0.0,0.0,0.6,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,13-14,2.0,1.0,200.0,R,30.0,,62.0,16.0,3100.0,170.0,0.0,0.0,186.0,3
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,21-22,2.0,1.0,200.0,R,12.0,,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,23,2.0,1.0,1800.0,R,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,06-07,3.0,1.0,200.0,R,1.0,,0.0,0.0,800.0,2.0,0.0,0.0,2.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,08,3.0,1.0,1500.0,R,1.0,,0.0,0.0,600.0,2.0,0.0,0.0,2.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,15-16,3.0,1.0,1430.0,R,5.0,140.0,6.0,2.3,360.0,0.72,0.0,0.0,3.02,4
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,06-07,4.0,1.0,200.0,R,1.0,,0.0,0.0,8.0,1.0,0.0,0.0,1.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,10-11,4.0,1.0,1200.0,R,4.0,140.0,16.0,3.6,240.0,0.48,0.0,0.0,4.08,4
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,20-21,4.0,1.0,1400.0,R,2.0,140.0,9.666666666666668,2.0,860.0,1.72,0.0,0.0,3.7199999999999998,2
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,03-04,5.0,1.0,1430.0,R,2.0,140.0,10.666666666666668,2.0,128.0,0.24,0.0,0.0,2.24,2
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,16-17,5.0,1.0,45.0,R,1.0,140.0,5.0,1.25,0.0,0.0,0.0,0.0,1.25,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,18-26,5.0,1.0,1030.0,R,1.0,140.0,3.0,1.0,160.0,0.32,0.0,0.0,1.32,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,27-28,5.0,1.0,1200.0,R,7.0,140.0,16.0,3.4,960.0,1.6,0.0,0.0,5.0,5
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,02-03,6.0,1.0,600.0,R,26.0,140.0,41.333333333333336,14.15,1080.0,2.16,0.0,0.0,16.31,10
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,16-17,6.0,1.0,900.0,R,2.0,140.0,6.0,1.8,720.0,1.44,0.0,0.0,3.24,2
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,19,6.0,1.0,1530.0,R,1.0,95.0,2.0,0.3,0.0,0.0,0.0,0.0,0.3,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,19-20,6.0,1.0,800.0,R,4.0,95.0,17.333333333333336,3.2,1080.0,3.44,0.0,0.0,6.64,3
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,26-27,6.0,1.0,800.0,R,5.0,95.0,16.0,4.85,0.0,0.0,0.0,0.0,4.85,5
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,03-04,7.0,1.0,800.0,R,6.0,95.0,14.0,5.1,0.0,0.0,0.0,0.0,5.1,4
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,07-08,7.0,1.0,1430.0,R,6.0,95.0,6.0,1.5,720.0,1.44,0.0,0.0,2.9399999999999995,4
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,09,7.0,1.0,116.0,R,35.0,95.0,51.0,13.0,0.0,0.0,0.0,0.0,13.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,09-10,7.0,1.0,115.0,R,255.0,98.75,335.0,75.25,9860.0,38.0,0.0,0.0,113.25,8
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,10-11,7.0,1.0,600.0,R,8.0,101.25,12.0,4.0,360.0,0.72,0.0,0.0,4.72,4
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,12-16,7.0,1.0,900.0,R,3.0,100.0,2.0,0.6,360.0,0.72,0.0,0.0,1.3199999999999998,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,17-18,7.0,1.0,55.0,R,4.0,120.0,9.0,2.55,0.0,0.0,0.0,0.0,2.55,3
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,20-21,7.0,1.0,900.0,R,13.0,130.0,17.0,5.3,600.0,3.48,0.0,0.0,8.78,4
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,21,7.0,1.0,930.0,R,13.0,130.0,5.0,1.25,0.0,0.0,0.0,0.0,1.25,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,22-23,7.0,1.0,100.0,R,4.0,130.0,21.0,3.55,240.0,0.84,0.0,0.0,4.390000000000001,4
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,24,7.0,1.0,1400.0,R,3.0,130.0,5.0,1.25,0.0,0.0,0.0,0.0,1.25,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,30,7.0,1.0,100.0,R,15.0,130.0,25.0,10.0,0.0,0.0,0.0,0.0,10.0,3
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,30-31,7.0,1.0,100.0,R,14.0,130.0,18.0,4.0,0.0,0.0,0.0,0.0,4.0,3
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,31,7.0,1.0,200.0,R,4.0,130.0,10.0,5.0,0.0,0.0,0.0,0.0,5.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,03,8.0,1.0,100.0,R,3.0,130.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,03-04,8.0,1.0,1200.0,R,5.0,130.0,7.0,2.25,240.0,0.48,0.0,0.0,2.73,2
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,04,8.0,1.0,1830.0,R,2.0,130.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,05-06,8.0,1.0,2000.0,R,23.0,165.0,50.0,13.0,1200.0,3.24,0.0,0.0,16.24,3
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,24-25,8.0,1.0,1200.0,R,10.0,165.0,17.0,5.55,240.0,0.48,0.0,0.0,6.03,6
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,25-26,8.0,1.0,600.0,R,2.0,165.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,26-27,8.0,1.0,600.0,R,3.0,165.0,4.0,1.05,360.0,0.72,0.0,0.0,1.77,2
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,27-28,8.0,1.0,1200.0,R,1.0,,2.0,0.6,360.0,0.72,1.0,0.0,1.3199999999999998,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,28,8.0,1.0,1200.0,R,1.0,,3.333333333333333,1.0,360.0,0.72,0.0,0.0,1.72,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,28-29,8.0,1.0,1300.0,R,2.0,,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,29,8.0,1.0,100.0,R,2.0,,3.0,1.55,0.0,0.0,0.0,0.0,1.55,2
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,29-30,8.0,1.0,1530.0,R,1.0,,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,30,8.0,1.0,1300.0,R,1.0,,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,31,8.0,1.0,930.0,R,1.0,,0.0,0.0,360.0,0.72,0.0,0.0,0.72,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,01-02,9.0,1.0,1200.0,R,2.0,,4.0,1.6,0.0,0.0,0.0,0.0,1.6,2
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,02-03,9.0,1.0,600.0,R,2.0,,19.333333333333336,4.0,0.0,0.0,0.0,0.0,4.0,2
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,26-27,9.0,1.0,1430.0,R,5.0,,22.0,9.8,0.0,0.0,0.0,0.0,9.8,4
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,13-14,10.0,1.0,1400.0,R,3.0,,4.0,0.8999999999999999,4120.0,100.24,0.0,0.0,101.14,3
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,15-16,10.0,1.0,930.0,R,2.0,,3.333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,24-25,10.0,1.0,1430.0,R,2.0,,4.0,1.15,1040.0,2.0,0.0,0.0,3.15,2
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,26-27,10.0,1.0,1400.0,R,1.0,,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,07,12.0,1.0,2200.0,R,6.0,,23.0,3.0,0.0,0.0,0.0,0.0,3.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,07-08,12.0,1.0,600.0,R,72.0,,306.0,93.0,6240.0,12.48,0.0,0.0,105.48,10
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,14-15,4.0,2.0,600.0,R,1.0,,2.0,4.0,0.0,0.0,0.0,0.0,4.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,15,4.0,2.0,1500.0,R,1.0,,2.0,4.0,0.0,0.0,0.0,0.0,4.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,15-16,4.0,2.0,1200.0,R,3.0,,8.0,3.0,0.0,0.0,0.0,0.0,3.0,3
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,02-03,6.0,2.0,900.0,R,2.0,,3.0,2.0,732.0,2.4,0.0,0.0,4.4,2
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,03,6.0,2.0,1000.0,R,1.0,,3.0,0.9,0.0,0.0,0.0,0.0,0.9,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,16-17,6.0,2.0,1200.0,R,3.0,,4.0,1.0,1700.0,3.8,0.0,0.0,4.8,2
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,17,6.0,2.0,900.0,R,3.0,,4.0,1.0,999.0,5.0,0.0,0.0,6.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,11-12,8.0,2.0,2134.0,R,1.0,100.0,0.0,0.0,300.0,1.0,0.0,0.0,1.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,02-03,9.0,2.0,2134.0,R,6.0,100.0,8.0,2.3,0.0,0.0,0.0,0.0,2.3,3
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,05-06,10.0,2.0,2134.0,R,608.0,100.0,67.0,109.0,11482.666666666668,337.28,0.0,0.0,446.28,11
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,15-16,1.0,3.0,2155.0,R,12.0,100.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,2
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,30-31,1.0,3.0,2158.0,R,2.0,280.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,25-26,2.0,3.0,2103.0,R,2.0,280.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,1
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,547N,605E,46002,26-27,2.0,3.0,2100.0,R,2.0,280.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,1
