target_location,target_name,BOOK,TOTAL_TONS,INCENDIARY_PERCENT,TARGET_SCORE,TONNAGE_SCORE,INCENDIARY_SCORE,AREA_BOMBING_SCORE,AREA_BOMBING_SCORE_NORMALIZED,CATEGORY,raid_id,AIR FORCE,DAY,MONTH,YEAR,TIME OF ATTACK,AVG_ALTITUDE,TOTAL_AIRCRAFT,Year
ABBEVILLE,AIRDROME,BOOK_10_AIRFIELDS__PART_1,64.0,0.0,0,7.759326739545376,0.0,2.3,2.4,AIRFIELDS,243,8.0,16,8.0,3.0,911.0,200.0,64.0,1943
ABBEVILLE,AIRDROME,BOOK_10_AIRFIELDS__PART_1,2.0,100.0,0,2.6979003990976924,10.0,3.8,3.9,AIRFIELDS,244,8.0,20,3.0,4.0,720.0,205.0,1.0,1944
ABBEVILLE,AIRDROME,BOOK_10_AIRFIELDS__PART_1,26.0,0.0,0,6.280583029672045,0.0,1.9,2.0,AIRFIELDS,245,8.0,08,7.0,4.0,720.0,233.0,12.0,1944
ABTSGMUND,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,3.0,100.0,1,3.692174214818671,10.0,8.1,8.4,INDUSTRIAL,246,8.0,21.0,7.0,4.0,,,1.0,1944
ACHERN,R R CENTER,BOOK_11_TRANSPORTATION__PART_3,149.692,20.837452903294764,0,9.00503210133611,4.20391484977336,4.0,4.1,TRANSPORTATION,249,8.0,7.0,7.0,1.0,500.0,210.0,104.0,1941
ACHERN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,50.0,0.0,1,7.340968245705362,0.0,6.2,6.4,INDUSTRIAL,250,8.0,6.0,9.0,3.0,107.0,262.0,20.0,1943
ACHIET,AIRFIELD,BOOK_10_AIRFIELDS__PART_1,58.25,0.0,0,7.597952455318411,0.0,2.3,2.4,AIRFIELDS,252,8.0,2.0,4.0,5.0,400.0,210.0,20.0,1945
ACHIET,AIRFIELD,BOOK_10_AIRFIELDS__PART_1,39.0,0.0,0,7.033663022731217,0.0,2.1,2.2,AIRFIELDS,253,8.0,3.0,4.0,5.0,1600.0,210.0,12.0,1945
ACHIET,AIRFIELD,BOOK_10_AIRFIELDS__PART_1,203.75,0.0,0,9.279888946729134,0.0,2.8,2.9,AIRFIELDS,254,8.0,5.0,4.0,5.0,1200.0,210.0,40.0,1945
AELTRE,LAIRDROME,BOOK_10_AIRFIELDS__PART_1,18.0,0.0,0,5.8754121117473534,0.0,1.8,1.9,AIRFIELDS,256,8.0,21.0,6.0,4.0,,,9.0,1944
AGENVILLERS,NO BALL,BOOK_8_WEAPON,27.0,0.0,0,6.333159812597605,0.0,1.9,2.0,WEAPON,258,8.0,20.0,12.0,3.0,1104.0,120.0,18.0,1943
AGENVILLERS,NO BALL,BOOK_8_WEAPON,26.0,0.0,0,6.280583029672045,0.0,1.9,2.0,WEAPON,259,8.0,21.0,12.0,3.0,1058.0,120.0,17.0,1943
AHLEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,127.0,22.04724409448819,1,8.855977789345827,4.288244554243983,7.9,8.1,INDUSTRIAL,260,8.0,23.0,3.0,4.0,1103.0,194.0,58.0,1944
AHLEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,90.5,30.939226519337016,1,8.384001388165887,4.908069078925606,8.0,8.2,INDUSTRIAL,261,8.0,24.0,3.0,4.0,600.0,194.0,58.0,1944
AHLHORN,AIRDROME,BOOK_10_AIRFIELDS__PART_2,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4,AIRFIELDS,262,8.0,21.0,2.0,4.0,1404.0,225.0,1.0,1944
AHLHORN,AIRDROME,BOOK_10_AIRFIELDS__PART_2,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4,AIRFIELDS,263,8.0,22.0,2.0,4.0,1600.0,220.0,1.0,1944
AHLHORN,AIRDROME,BOOK_10_AIRFIELDS__PART_2,3.0,0.0,0,3.692174214818671,0.0,1.1,1.1,AIRFIELDS,264,8.0,11.0,4.0,4.0,930.0,200.0,1.0,1944
AHLHORN,AIRDROME,BOOK_10_AIRFIELDS__PART_2,208.1,0.0480538202787121,0,9.294985250737463,0.0404251870564571,2.8,2.9,AIRFIELDS,265,8.0,21.0,3.0,5.0,935.0,186.66666666666663,93.0,1945
AHLHORN,AIRDROME,BOOK_10_AIRFIELDS__PART_2,229.0,0.0,0,9.365087627971542,0.0,2.8,2.9,AIRFIELDS,266,8.0,22.0,3.0,5.0,1146.0,180.0,76.0,1945
AHLHORN,AIRDROME,BOOK_10_AIRFIELDS__PART_2,249.94,0.0,0,9.428075655040775,0.0,2.8,2.9,AIRFIELDS,267,8.0,23.0,3.0,5.0,900.0,180.0,162.0,1945
AHRENSBERG,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,0.2,0.0,1,0.0716640638556307,0.0,4.0,4.1,INDUSTRIAL,268,8.0,18.0,4.0,4.0,,,1.0,1944
AHRWEILER,COMMUNICATIONS,BOOK_11_TRANSPORTATION__PART_3,54.8,0.0,0,7.492451847995836,0.0,2.2,2.3,TRANSPORTATION,269,8.0,24.0,1.0,2.0,700.0,215.0,20.0,1942
AHRWEILER,COMMUNICATIONS,BOOK_11_TRANSPORTATION__PART_3,23.0,0.0,0,6.121464515009544,0.0,1.8,1.9,TRANSPORTATION,270,8.0,25.0,1.0,2.0,900.0,215.0,9.0,1942
AHRWEILER,COMMUNICATIONS,BOOK_11_TRANSPORTATION__PART_3,6.0,0.0,0,4.813291688356759,0.0,1.4,1.4,TRANSPORTATION,271,8.0,1.0,12.0,2.0,401.0,205.0,18.0,1942
AHRWEILER,COMMUNICATIONS,BOOK_11_TRANSPORTATION__PART_3,119.294,0.246449947189297,0,8.796113135519693,0.2073255603279233,2.7,2.8,TRANSPORTATION,272,8.0,23.0,12.0,2.0,403.0,207.6,45.0,1942
AHRWEILER,COMMUNICATIONS,BOOK_11_TRANSPORTATION__PART_3,28.0,0.0,0,6.395800798195385,0.0,1.9,2.0,TRANSPORTATION,273,8.0,25.0,12.0,2.0,510.0,220.0,10.0,1942
AHRWEILER,COMMUNICATIONS,BOOK_11_TRANSPORTATION__PART_3,26.0,0.0,0,6.280583029672045,0.0,1.9,2.0,TRANSPORTATION,274,8.0,26.0,12.0,2.0,600.0,214.0,10.0,1942
AHRWEILER,COMMUNICATIONS,BOOK_11_TRANSPORTATION__PART_3,2.5,20.0,0,3.2903001908728093,4.145539357905837,2.2,2.3,TRANSPORTATION,275,8.0,27.0,12.0,2.0,1300.0,215.0,1.0,1942
AHRWEILER,RAILROAD BRIDGE,BOOK_11_TRANSPORTATION__PART_3,39.5,17.72151898734177,0,7.0570883220544856,3.9867155610075873,3.3,3.4,TRANSPORTATION,276,8.0,1.0,1.0,4.0,1213.0,243.0,13.0,1944
AHRWEILER,RAILROAD BRIDGE,BOOK_11_TRANSPORTATION__PART_3,33.0,15.151515151515152,0,6.722019781363873,3.8075708742705054,3.2,3.3,TRANSPORTATION,277,8.0,25.0,12.0,4.0,600.0,243.0,11.0,1944
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,23.5,0.0,0,6.14593093874718,0.0,1.8,1.9,AIRFIELDS,286,8.0,1,7.0,3.0,1200.0,110.0,43.0,1943
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,7.0,0.0,0,4.993232691306611,0.0,1.5,1.5,AIRFIELDS,287,8.0,31,7.0,3.0,1111.0,110.0,21.0,1943
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,43.0,0.0,0,7.167794551448898,0.0,2.2,2.3,AIRFIELDS,288,8.0,12,8.0,3.0,1052.0,110.0,34.0,1943
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,12.0,0.0,0,5.527676557348603,0.0,1.7,1.8,AIRFIELDS,289,8.0,16,8.0,3.0,912.0,210.0,34.0,1943
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,38.0,0.0,0,6.986812424084679,0.0,2.1,2.2,AIRFIELDS,290,8.0,17,8.0,3.0,1552.0,110.0,70.0,1943
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,43.0,0.0,0,7.167794551448898,0.0,2.2,2.3,AIRFIELDS,291,8.0,19,8.0,3.0,1218.0,120.0,35.0,1943
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,4.0,0.0,0,4.268783619642547,0.0,1.3,1.3,AIRFIELDS,292,8.0,27,8.0,3.0,826.0,110.0,34.0,1943
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,87.0,0.0,0,8.32864827346868,0.0,2.5,2.6,AIRFIELDS,293,8.0,13,3.0,4.0,1134.0,181.0,17.0,1944
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,48.0,0.0,0,7.283359361443692,0.0,2.2,2.3,AIRFIELDS,294,8.0,15,5.0,4.0,1001.0,249.0,17.0,1944
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,21.0,0.0,0,6.031580773902482,0.0,1.8,1.9,AIRFIELDS,295,8.0,24,5.0,4.0,929.0,210.0,17.0,1944
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,95.0,24.210526315789473,0,8.4412632309561,4.439038304220729,3.9,4.0,AIRFIELDS,296,8.0,24.0,5.0,4.0,924.0,200.0,22.0,1944
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,22.0,0.0,0,6.073572791948639,0.0,1.8,1.9,AIRFIELDS,297,8.0,10.0,6.0,4.0,710.0,200.0,7.0,1944
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,6.0,0.0,0,4.813291688356759,0.0,1.4,1.4,AIRFIELDS,298,8.0,11.0,6.0,4.0,710.0,200.0,7.0,1944
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,1.8,0.0,0,2.289259066458442,0.0,0.7,0.7,AIRFIELDS,299,8.0,3.0,7.0,4.0,800.0,235.0,1.0,1944
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,149.625,0.0,0,9.004685059864654,0.0,2.7,2.8,AIRFIELDS,300,8.0,8.0,7.0,4.0,710.0,226.25,61.0,1944
AIRDROME,PO IX NAME,BOOK_10_AIRFIELDS__PART_1,8.4,0.0,0,5.176297067499567,0.0,1.6,1.6,AIRFIELDS,301,8.0,9.0,7.0,4.0,730.0,227.0,4.0,1944
AIRE,UNIDENTIFIED,BOOK_6_INDUSTRIAL__PART_2,54.0,0.0,1,7.474058650008676,0.0,6.2,6.4,INDUSTRIAL,320,8.0,6.0,7.0,4.0,958.0,250.0,24.0,1944
ALBESE,BRIDGE,BOOK_11_TRANSPORTATION__PART_2,261.0,0.0,0,9.462606281450633,0.0,2.8,2.9,TRANSPORTATION,323,15.0,1.0,2.0,5.0,1028.0,240.25,123.0,1945
ALBESE,BRIDGE,BOOK_11_TRANSPORTATION__PART_2,77.0,0.0,0,8.110359187922956,0.0,2.4,2.5,TRANSPORTATION,324,15.0,2.0,2.0,5.0,1315.0,238.5,28.0,1945
ALBESE,BRIDGE,BOOK_11_TRANSPORTATION__PART_2,167.0,0.0,0,9.10827693909422,0.0,2.7,2.8,TRANSPORTATION,325,15.0,28.0,2.0,5.0,1035.0,231.75,60.0,1945
ALBESE,BRIDGE,BOOK_11_TRANSPORTATION__PART_2,45.65,0.0,0,7.2337324310255084,0.0,2.2,2.3,TRANSPORTATION,326,15.0,31.0,4.0,5.0,1200.0,235.0,211.0,1945
ALENCON,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_2,16.0,0.0,0,5.778240499739718,0.0,1.7,1.8,TRANSPORTATION,327,8.0,06,6.0,4.0,1200.0,,8.0,1944
ALESSANDRIA,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_2,486.0,0.0,0,9.765226444560124,0.0,2.9,3.0,TRANSPORTATION,329,15.0,30.0,4.0,4.0,1230.0,203.16666666666663,201.0,1944
ALESSANDRIA,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_2,66.0,0.0,0,7.809994794377928,0.0,2.3,2.4,TRANSPORTATION,330,15.0,30.0,5.0,4.0,1237.0,210.0,34.0,1944
ALESSANDRIA,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_2,199.5,0.0,0,9.259239979177512,0.0,2.8,2.9,TRANSPORTATION,331,15.0,5.0,4.0,5.0,1430.0,210.33333333333337,341.0,1945
ALFSTEDT,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,3.0,0.0,1,3.692174214818671,0.0,5.1,5.3,INDUSTRIAL,333,8.0,5.0,8.0,4.0,,,1.0,1944
ALMENECHES,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,27.0,0.0,1,6.333159812597605,0.0,5.9,6.1,INDUSTRIAL,344,8.0,6.0,6.0,4.0,,,9.0,1944
ALOST,ALOST HA-LL; R R BRIDGE,BOOK_11_TRANSPORTATION__PART_1,36.0,0.0,0,6.885476314419573,0.0,2.1,2.2,TRANSPORTATION,345,8.0,8.0,7.0,4.0,714.0,132.0,9.0,1944
ALOST,R R,BOOK_11_TRANSPORTATION__PART_1,23.0,0.0,0,6.121464515009544,0.0,1.8,1.9,TRANSPORTATION,348,8.0,25,5.0,4.0,,,6.0,1944
ALSOSZOLNOK,CITY AREA,BOOK_6_INDUSTRIAL__PART_1,3.0,0.0,1,3.692174214818671,0.0,5.1,5.3,INDUSTRIAL,350,15.0,27.0,12.0,4.0,,220.0,1.0,1944
ALTENBEKEN,RR VIADUCT,BOOK_11_TRANSPORTATION__PART_3,66.0,0.0,0,7.809994794377928,0.0,2.3,2.4,TRANSPORTATION,356,8.0,26.0,1.0,1.0,1144.0,193.0,22.0,1941
ALTENBEKEN,RR VIADUCT,BOOK_11_TRANSPORTATION__PART_3,365.878,0.1033131262333346,0,9.634218289085544,0.0869119755546281,2.9,3.0,TRANSPORTATION,357,8.0,29.0,1.0,1.0,600.0,214.66666666666663,139.0,1941
ALTENBEKEN,RR VIADUCT,BOOK_11_TRANSPORTATION__PART_3,36.0,0.0,0,6.885476314419573,0.0,2.1,2.2,TRANSPORTATION,358,8.0,26.0,11.0,1.0,1144.0,200.0,21.0,1941
ALTENBEKEN,RR VIADUCT,BOOK_11_TRANSPORTATION__PART_3,72.21,0.2908184461985875,0,8.001388165885823,0.2446504777114298,2.5,2.6,TRANSPORTATION,359,8.0,29.0,11.0,1.0,1200.0,211.66666666666663,60.0,1941
ALTENBEKEN,RR VIADUCT,BOOK_11_TRANSPORTATION__PART_3,114.0,0.0,0,8.747527329515878,0.0,2.6,2.7,TRANSPORTATION,361,8.0,9.0,11.0,2.0,1300.0,232.0,38.0,1942
ALTENBEKEN,RR VIADUCT,BOOK_11_TRANSPORTATION__PART_3,194.0,0.0,0,9.237029325004338,0.0,2.8,2.9,TRANSPORTATION,362,8.0,26.0,11.0,4.0,1144.0,193.71428571428572,52.0,1944
ALTERKULZ,Unidentified Target,BOOK_6_INDUSTRIAL__PART_2,3.0,0.0,1,3.692174214818671,0.0,5.1,5.3,INDUSTRIAL,364,8.0,1.0,1.0,5.0,,,1.0,1945
ALTSTADT,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,84.21600000000001,16.8804027738197,0,8.286656255422523,3.928084714438276,3.7,3.8,TRANSPORTATION,366,8.0,3.0,1.0,5.0,600.0,218.0,30.0,1945
ALTWILDUNGEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_4,30.0,0.0,1,6.531667534270346,0.0,6.0,6.2,INDUSTRIAL,367,8.0,2.0,10.0,4.0,1131.0,250.0,12.0,1944
ALZEY,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,1.0,0.0,1,1.2540343571056742,0.0,4.4,4.5,INDUSTRIAL,368,8.0,,8.0,4.0,,,2.0,1944
AMBERG,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_3,141.0,0.0,0,8.951934756203366,0.0,2.7,2.8,TRANSPORTATION,369,8.0,11.0,4.0,5.0,1347.0,195.5,58.0,1945
AMBERG,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_3,1.2,16.666666666666668,0,1.8181502689571405,3.9131860254065463,1.7,1.8,TRANSPORTATION,370,8.0,12.0,4.0,5.0,1350.0,195.0,29.0,1945
AMBERG,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_3,27.0,0.0,0,6.333159812597605,0.0,1.9,2.0,TRANSPORTATION,371,8.0,13.0,4.0,5.0,1353.0,198.5,84.0,1945
AMBERG,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_3,27.5,0.0,0,6.365608190178726,0.0,1.9,2.0,TRANSPORTATION,372,8.0,15.0,4.0,5.0,1356.0,196.0,29.0,1945
AMBERIEU,MARSHALLING YARDS,BOOK_11_TRANSPORTATION__PART_2,102.0,0.0,0,8.585285441610273,0.0,2.6,2.7,TRANSPORTATION,373,15.0,25.0,5.0,4.0,1320.0,208.0,75.0,1944
AMBLETEUSE,V WEAPONS,BOOK_8_WEAPON,24.0,0.0,0,6.1726531320492795,0.0,1.9,2.0,WEAPON,379,8.0,24.0,12.0,3.0,1216.0,115.0,16.0,1943
AMBLETEUSE,V WEAPONS,BOOK_8_WEAPON,10.0,0.0,0,5.347388512927295,0.0,1.6,1.6,WEAPON,380,8.0,4.0,6.0,4.0,1200.0,260.0,69.0,1944
AMSTERDAM,ATROROME,BOOK_10_AIRFIELDS__PART_1,36.0,0.0,0,6.885476314419573,0.0,2.1,2.2,AIRFIELDS,396,8.0,03,11.0,3.0,1549.0,115.0,17.0,1943
AMSTERDAM,FECKER A C FACTORY,BOOK_7_AIRCRAFTPRODUCTION,66.0,0.0,0,7.809994794377928,0.0,2.3,2.4,AIRCRAFTPRODUCTION,406,8.0,17,7.0,3.0,849.0,217.42857142857144,35.0,1943
AMSTETTEN,Marshalling Yards,BOOK_11_TRANSPORTATION__PART_1,6.0,0.0,0,4.813291688356759,0.0,1.4,1.4,TRANSPORTATION,407,15.0,20.0,3.0,5.0,1321.0,215.0,17.0,1945
ANDENNE,BRIDGE,BOOK_11_TRANSPORTATION__PART_1,23.0,0.0,0,6.121464515009544,0.0,1.8,1.9,TRANSPORTATION,408,8.0,07,8.0,4.0,1126.0,97.0,10.0,1944
ANDENNE,BRIDGE,BOOK_11_TRANSPORTATION__PART_1,1.8,0.0,0,2.289259066458442,0.0,0.7,0.7,TRANSPORTATION,409,8.0,7-07,8.0,4.0,1126.0,97.0,10.0,1944
ANDRE DE L EURE,Airdrome,BOOK_10_AIRFIELDS__PART_1,57.0,0.0,0,7.55457227138643,0.0,2.3,2.4,AIRFIELDS,410,8.0,3.0,9.0,3.0,947.0,50.0,19.0,1943
ANDRE DE L EURE,Airdrome,BOOK_10_AIRFIELDS__PART_1,72.0,0.0,0,7.98160680201284,0.0,2.4,2.5,AIRFIELDS,411,8.0,3.0,11.0,3.0,1102.0,100.0,19.0,1943
ANDRE DE L EURE,Airdrome,BOOK_10_AIRFIELDS__PART_1,68.0,0.0,0,7.863265660246399,0.0,2.4,2.5,AIRFIELDS,412,8.0,4.0,11.0,3.0,1101.0,115.0,19.0,1943
ANDRE DE L EURE,Airdrome,BOOK_10_AIRFIELDS__PART_1,187.8,0.0,0,9.211174735380878,0.0,2.8,2.9,AIRFIELDS,413,8.0,6.0,2.0,4.0,1145.0,227.33333333333337,57.0,1944
ANDRE DE L EURE,Airdrome,BOOK_10_AIRFIELDS__PART_1,5.0,0.0,0,4.5779975707097,0.0,1.4,1.4,AIRFIELDS,414,8.0,7.0,2.0,4.0,600.0,210.0,19.0,1944
ANDRE DE L EURE,Airdrome,BOOK_10_AIRFIELDS__PART_1,7.0,0.0,0,4.993232691306611,0.0,1.5,1.5,AIRFIELDS,415,8.0,11.0,6.0,4.0,930.0,202.0,19.0,1944
ANDRE DE L EURE,Airdrome,BOOK_10_AIRFIELDS__PART_1,107.0,0.0,0,8.660940482387646,0.0,2.6,2.7,AIRFIELDS,416,8.0,12.0,6.0,4.0,819.0,200.5,38.0,1944
ANDRE DE L EURE,Airdrome,BOOK_10_AIRFIELDS__PART_1,91.0,0.0,0,8.389380530973451,0.0,2.5,2.6,AIRFIELDS,417,8.0,13.0,6.0,4.0,600.0,187.5,38.0,1944
ANDRE DE L EURE,Airdrome,BOOK_10_AIRFIELDS__PART_1,33.0,0.0,0,6.722019781363873,0.0,2.0,2.1,AIRFIELDS,418,8.0,8.0,7.0,4.0,727.0,180.0,19.0,1944
ANDRESSELLES,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,2.0,0.0,1,2.6979003990976924,0.0,4.8,4.9,INDUSTRIAL,419,8.0,3.0,6.0,4.0,1116.0,257.0,18.0,1944
ANGERS,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_2,74.0,0.0,0,8.036265833767136,0.0,2.4,2.5,TRANSPORTATION,420,8.0,,6.0,4.0,900.0,180.0,25.0,1944
ANGERS,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_2,2.0,0.0,0,2.6979003990976924,0.0,0.8,0.8,TRANSPORTATION,421,8.0,,6.0,4.0,1200.0,180.0,1.0,1944
ANGOULEME,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_2,102.0,0.0,0,8.585285441610273,0.0,2.6,2.7,TRANSPORTATION,424,8.0,15.0,6.0,4.0,807.0,208.0,35.0,1944
ANGOULEME,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_2,3.0,0.0,0,3.692174214818671,0.0,1.1,1.1,TRANSPORTATION,425,8.0,16.0,6.0,4.0,600.0,209.0,1.0,1944
ANGOULEME,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_2,102.0,0.0,0,8.585285441610273,0.0,2.6,2.7,TRANSPORTATION,426,8.0,17.0,6.0,4.0,816.0,210.0,34.0,1944
ANGOULEME,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_2,76.0,0.0,0,8.087801492278327,0.0,2.4,2.5,TRANSPORTATION,427,8.0,17.0,8.0,4.0,1054.0,157.0,26.0,1944
ANGOULEME,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_2,35.0,0.0,0,6.818670831164324,0.0,2.0,2.1,TRANSPORTATION,428,8.0,18.0,8.0,4.0,1053.0,157.0,12.0,1944
ANIZY LE CHATEAU CITY AREA,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,61.0,0.0,1,7.683671698768003,0.0,6.3,6.5,INDUSTRIAL,429,8.0,17.0,7.0,4.0,1039.0,244.0,21.0,1944
ANIZY LE CHATEAU CITY AREA,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,32.0,0.0,1,6.656255422522992,0.0,6.0,6.2,INDUSTRIAL,430,8.0,18.0,7.0,4.0,1041.0,258.0,11.0,1944
ANKLAM,A C COMPONENTS PLANT,BOOK_7_AIRCRAFTPRODUCTION,40.15,10.336239103362391,0,7.097692174214819,3.471917243262814,3.2,3.3,AIRCRAFTPRODUCTION,431,8.0,10.0,10.0,3.0,1645.0,150.0,63.0,1943
ANKLAM,A C COMPONENTS PLANT,BOOK_7_AIRCRAFTPRODUCTION,52.8,0.0,0,7.429984383133784,0.0,2.2,2.3,AIRCRAFTPRODUCTION,432,8.0,12.0,10.0,3.0,1600.0,170.0,63.0,1943
ANKLAM,A C COMPONENTS PLANT,BOOK_7_AIRCRAFTPRODUCTION,150.0,66.66666666666666,0,9.010237723407949,7.409871163988805,4.9,5.1,AIRCRAFTPRODUCTION,433,8.0,18.0,10.0,3.0,1300.0,230.0,63.0,1943
ANKLAM,A C COMPONENTS PLANT,BOOK_7_AIRCRAFTPRODUCTION,100.0,100.0,0,8.52628839146278,10.0,5.6,5.8,AIRCRAFTPRODUCTION,434,8.0,19.0,10.0,3.0,1600.0,240.0,63.0,1943
ANKLAM,A C COMPONENTS PLANT,BOOK_7_AIRCRAFTPRODUCTION,4.15,100.0,0,4.40117994100295,10.0,4.3,4.4,AIRCRAFTPRODUCTION,435,8.0,20.0,10.0,3.0,900.0,250.0,63.0,1943
ANKLAM,A C COMPONENTS PLANT,BOOK_7_AIRCRAFTPRODUCTION,4.15,100.0,0,4.40117994100295,10.0,4.3,4.4,AIRCRAFTPRODUCTION,436,8.0,21.0,10.0,3.0,1500.0,260.0,63.0,1943
ANKLAM,A C COMPONENTS PLANT,BOOK_7_AIRCRAFTPRODUCTION,4.15,100.0,0,4.40117994100295,10.0,4.3,4.4,AIRCRAFTPRODUCTION,437,8.0,22.0,10.0,3.0,1200.0,270.0,63.0,1943
ANKLAM,A C COMPONENTS PLANT,BOOK_7_AIRCRAFTPRODUCTION,113.0,12.389380530973453,0,8.73815720978657,3.615033519102147,3.7,3.8,AIRCRAFTPRODUCTION,438,8.0,9.0,10.0,3.0,1144.0,130.25,252.0,1943
